route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,SORTA,1,Mt. Adams Eden Park,,3,,FF4AFF,000000
100,SORTA,100,Streetcar,,0,,FF0000,000000
11,SORTA,11,Madison Road - Hyde Park - Erie,,3,,8672E2,000000
1111,SORTA,1111,Madison - Winton - Mt Airy,,3,,008000,000000
1112,SORTA,1112,Madison - Hamilton - Kings Run,,3,,008000,000000
1121,SORTA,1121,Madison - Madisonville,,3,,008000,000000
1131,SORTA,1131,Madison - Price Hill - Cheviot,,3,,008000,000000
1132,SORTA,1132,Madison - Baltimore - McHenry,,3,,008000,000000
1133,SORTA,1133,Madison - Highland - Beekman,,3,,008000,000000
1141,SORTA,1141,Madison - Evanston - Avondale,,3,,008000,000000
1142,SORTA,1142,Madison - N. Avondale - Mt Auburn,,3,,008000,000000
1151,SORTA,1151,Madison - Queen City - Harrison,,3,,008000,000000
1152,SORTA,1152,Madison - Glenway - Montana,,3,,008000,000000
1161,SORTA,1161,Madison - Hartwell - Carthage,,3,,008000,000000
1162,SORTA,1162,Madison - Bond Hill - Roselawn,,3,,008000,000000
1163,SORTA,1163,Madison - Reading Rd. - Roselawn,,3,,008000,000000
1171,SORTA,1171,Madison - Golf Manor - Ridge,,3,,008000,000000
1172,SORTA,1172,Madison - Silverton - Kennedy,,3,,008000,000000
12,SORTA,12X,Madisonville Express,,3,,D82758,000000
14,SORTA,14X,Forest Park Express,,3,,FF48FF,000000
15,SORTA,15X,Mt Healthy Express,,3,,DF20BE,000000
16,SORTA,16,Mt Healthy - Spring Grove Ave,,3,,FF0000,000000
17,SORTA,17,Hamilton Avenue,,3,,5353FF,000000
1711,SORTA,1711,Belmont - Winton Terrace,,3,,008080,000000
1712,SORTA,1712,Belmont - Winton Hills - Vine St.,,3,,008080,000000
1731,SORTA,1731,Belmont - McHenry - Winton,,3,,008080,000000
1732,SORTA,1732,Belmont - Beekman - Harrison,,3,,008080,000000
1733,SORTA,1733,Belmont - E Westwood - Northside,,3,,008080,000000
1741,SORTA,1741,Belmont - Clifton - Avondale,,3,,008080,000000
1742,SORTA,1742,Belmont - Clifton - Walnut Hills,,3,,008080,000000
1751,SORTA,1751,Belmont - Cheviot - Price Hill,,3,,008080,000000
1752,SORTA,1752,Belmont - Montana - Glenway,,3,,008080,000000
1761,SORTA,1761,Belmont - Camp Washington - Hartwel,,3,,008080,000000
1762,SORTA,1762,Belmont - Hartwell - Bond Hill,,3,,008080,000000
1791,SORTA,1791,Belmont - Liberty - Mt. Auburn,,3,,008080,000000
19,SORTA,19,Colerain - Northgate,,3,,FF7B1A,000000
2,SORTA,2X,Madeira - Kenwood Express,,3,,F94266,000000
20,SORTA,20,Winton Rd - Tri - County,,3,,AF5C01,000000
2001,SORTA,2001,North Bend - Hyde Park - Beechmont,,3,,808000,000000
2031,SORTA,2031,North Bend - Covedale - Cheviot,,3,,808000,000000
21,SORTA,21,Westwood - Harrison Avenue,,3,,9C4E3A,000000
2111,SORTA,2111,Westwood Northern - Winton Terrace,,3,,00B700,000000
2112,SORTA,2112,Westwood Northern - College Hill,,3,,00B700,000000
2121,SORTA,2121,Westwood Northern - Madisonville,,3,,00B700,000000
2131,SORTA,2131,Westwood Northern - Westwood,,3,,00B700,000000
2141,SORTA,2141,Westwood Northern - Walnut Hills,,3,,00B700,000000
2151,SORTA,2151,Westwood Northern - Price Hill,,3,,00B700,000000
2161,SORTA,2161,Westwood Northern - Roselawn,,3,,00B700,000000
23,SORTA,23X,Tri - County - Forest Park Express,,3,,B800F4,000000
24,SORTA,24,Mt Washington - Uptown,,3,,2E72A9,000000
2401,SORTA,2401,Erie - Mt Washginton,,3,,80FF80,000000
2411,SORTA,2411,Erie - Winton - Mt Airy,,3,,80FF80,000000
2412,SORTA,2412,Erie - College Hill - Winton,,3,,80FF80,000000
2421,SORTA,2421,Erie - Madisonville - Silverton,,3,,80FF80,000000
2431,SORTA,2431,Erie - Harrison - Glenway,,3,,80FF80,000000
2432,SORTA,2432,Erie - Queen City - Montana,,3,,80FF80,000000
