stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
EZZLINe,4451,EZZARD CHARLES DR & LINN ST,,39.109286,-84.527882,,,,,,0
LINGILe,5865,LINCOLN AVE & GILBERT AVE,LINCOLN AVE & LINCOLN PL,39.132097,-84.488179,,,,,,0
LINGILw,5904,LINCOLN AVE & GILBERT AVE,LINCOLN AVE & LINCOLN PL,39.132267,-84.488365,,,,,,0
EZZLINw,4452,EZZARD CHARLES DR & LINN ST,,39.109287,-84.52759,,,,,,0
MADDAWi,8932,MADEIRA DAWSON RD LAYOVER,DAWSON RD & MONTGOMERY RD,39.187738,-84.364222,,,,,,0
MONKENi,8621,MONTGOMERY RD & KENWOOD RD,,39.19881,-84.381016,,,,,,0
MONKNNi,7843,MONTGOMERY RD & KENNEDY AVE,,39.188925,-84.41332,,,,,,0
MONLESi,7348,MONTGOMERY RD & LESTER RD,,39.180932,-84.431806,,,,,,0
SYCCOUi,1153,SYCAMORE ST & COURT ST,SYCAMORE ST & CENTRAL PKWY,39.106854,-84.509507,,,,,,0
MONLESo,7347,MONTGOMERY RD & LESTER RD,,39.180816,-84.431689,,,,,,0
MONMCHo,7842,MONTGOMERY RD & MCHUGH PL,,39.188969,-84.412701,,,,,,0
MONKENo,8620,MONTGOMERY RD & KENWOOD RD,,39.198721,-84.380724,,,,,,0
MONPFEi,9030,MONTGOMERY RD & PFEIFFER RD,,39.249175,-84.344819,,,,,,0
BLUCOOi,8847,BLUE ASH AVE & COOPER RD,,39.231376,-84.378969,,,,,,0
BLUCOOo,8846,BLUE ASH AVE & COOPER RD,,39.231225,-84.378806,,,,,,0
MONPFEo,9029,MONTGOMERY RD & PFEIFFER RD,,39.248853,-84.344702,,,,,,0
RAYWALi,8356,UC BLUE ASH,PLAINFIELD RD & WICKLOW AVE,39.233855,-84.398972,,,,,,0
MONROSi,6758,MONTGOMERY RD & ROSS AVE,MONTGOMERY RD & BUXTON AVE,39.167699,-84.453102,,,,,,0
MONDANi,6463,MONTGOMERY RD & DANA AVE,,39.146371,-84.467916,,,,,,0
