"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"3","Transit Authority of Northern Kentucky","3","Ludlow/Bromley",,"3","http://www.tankbus.org/Portals/0/Documents/Schedules/3%2010-8-12.pdf","008000","FFFFFF"
"17X","Transit Authority of Northern Kentucky","17X","Buttermilk Pike Express",,"3","http://www.tankbus.org/Portals/0/Documents/Schedules/17X%20-%20Villa%20Hills%20Express.pdf","000080","FFFFFF"
"9","Transit Authority of Northern Kentucky","9","Taylor Mill/Independence",,"3","http://www.tankbus.org/Portals/0/Documents/Schedules/9%2011-1-14.pdf","008000","FFFFFF"
"1","Transit Authority of Northern Kentucky","1","Dixie Hwy/Florence",,"3",http://www.tankbus.org/Portals/0/Documents/Schedules/1-11-01-14.pdf,"008000","FFFFFF"
"1X","Transit Authority of Northern Kentucky","1X","Houston Rd/Mineola Pike Express",,"3","http://www.tankbus.org/Portals/0/Documents/Schedules/1X%20-%20Florence%20Express.pdf","000080","FFFFFF"
"2X","Transit Authority of Northern Kentucky","2X","Airporter",,"3","http://www.tankbus.org/Portals/0/Documents/Schedules/2X%20-%20Airport%20Express.pdf","000080","FFFFFF"
"5","Transit Authority of Northern Kentucky","5","Holman Ave/Fort Wright",,"3","http://www.tankbus.org/Portals/0/Documents/Schedules/5-3-31-2012.pdf","008000","FFFFFF"
"11","Transit Authority of Northern Kentucky","11","Fort Thomas",,"3","http://www.tankbus.org/Portals/0/Documents/Schedules/11.pdf","008000","FFFFFF"
"7","Transit Authority of Northern Kentucky","7","Madison Ave/Latonia",,"3","http://www.tankbus.org/Portals/0/Documents/Schedules/7%2011-1-14.pdf","008000","FFFFFF"
"18X","Transit Authority of Northern Kentucky","18X","Fort Mitchell/Edgewood Express",,"3","http://www.tankbus.org/Portals/0/Documents/Schedules/18X%20-%20Edgewood%20Express.pdf","000080","FFFFFF"
"12","Transit Authority of Northern Kentucky","12","Bellevue/Dayton",,"3","http://www.tankbus.org/Portals/0/Documents/Schedules/12%2011-01-14.pdf","008000","FFFFFF"
"22X","Transit Authority of Northern Kentucky","22X","Richwood/Walton Express",,"3","http://www.tankbus.org/Portals/0/Documents/Schedules/22X%20-%20Walton%20Express.pdf","000080","FFFFFF"
"25X","Transit Authority of Northern Kentucky","25X","Alexandria Express",,"3","http://www.tankbus.org/Portals/0/Documents/25X%20-%20Alexandria%20Express.pdf","000080","FFFFFF"
"28X","Transit Authority of Northern Kentucky","28X","Empire Dr/Industrial Rd Express",,"3","http://www.tankbus.org/Portals/0/Documents/Schedules/28X%20-%20Empire%20Drive%20Express.pdf","000080","FFFFFF"
"32X","Transit Authority of Northern Kentucky","32X","Burlington Express",,"3","http://www.tankbus.org/Portals/0/Documents/Schedules/32X%20-%20Burlington%20Express.pdf","000080","FFFFFF"
"30X","Transit Authority of Northern Kentucky","30X","Fort Wright/Independence Express",,"3","http://www.tankbus.org/Portals/0/Documents/Schedules/30X%20-%20Independence%20Express.pdf","000080","FFFFFF"
"33","Transit Authority of Northern Kentucky","33","Thomas More Pkwy/Crestview Hills",,"3","http://www.tankbus.org/Portals/0/Documents/Schedules/33%208-25-2012.pdf","008000","FFFFFF"
"3701 SOU","Transit Authority of Northern Kentucky","Southbank Shuttle",,"EVERY 15 MINUTES MONDAY THRU SUNDAY (refer to schedule for hours of operation)","3","http://www.tankbus.org/Portals/0/Documents/Schedules/Southbank%20Shuttle%20Winter%20Schedule.pdf","ffdd00","000099"
"24","Transit Authority of Northern Kentucky","NKU Shuttle",,"NKU Shuttle operates when school is in session during fall and spring semesters.","3","http://www.tankbus.org/Portals/0/Documents/Schedules/NKU%20Flyer%208-30-12.pdf",,
"552 H1 A","Transit Authority of Northern Kentucky","Holmes AM1","Holmes High School 1 AM","This is an open door public bus. However, the schedule is geared toward the school's needs","3","http://www.tankbus.org/Portals/0/Documents/Schedules/School_special.pdf",,
