"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"100580","0","US 42 at Lacresta - In","","38.982632","-84.645059","Transit Authority of Northern Kentucky","","0",""
"100340","0","Turfway at Burlington - In","","39.010458","-84.627467","Transit Authority of Northern Kentucky","","0",""
"HOMMAN","0","Home at Main Out","","39.080062","-84.48759","Transit Authority of Northern Kentucky","","0",""
"10657","0","Monmouth and 16th - Out","","39.0838","-84.4841","Transit Authority of Northern Kentucky","","0",""
"30024","0","Royal at Grace - Out","","39.045445","-84.573366","Transit Authority of Northern Kentucky","","0",""
"10656","0","Clover Ridge at Capri - In","","39.09603","-84.455139","Transit Authority of Northern Kentucky","","0",""
"30023","0","E 4th at Monmouth - In","","39.093134","-84.494787","Transit Authority of Northern Kentucky","","0",""
"10658","0","Rossford at Wesly Hills - In","","39.097047","-84.451694","Transit Authority of Northern Kentucky","","0",""
"10651","0","Clover Ridge at Memorial - Out","","39.091235","-84.456956","Transit Authority of Northern Kentucky","","0",""
"100575","0","US 42 at Sycamore - In","","38.982116","-84.647612","Transit Authority of Northern Kentucky","","0",""
"10650","0","Memorial at Wessex - In","","39.091473","-84.461321","Transit Authority of Northern Kentucky","","0",""
"10653","0","Clover Rdg at Winding Way - Ou","","39.093067","-84.457332","Transit Authority of Northern Kentucky","","0",""
"100335","0","Steeple Chase at Turfway - In","","39.014968","-84.631301","Transit Authority of Northern Kentucky","","0",""
"10652","0","Clover Ridge at Memorial - In","","39.091082","-84.457061","Transit Authority of Northern Kentucky","","0",""
"10655","0","Clover Ridge at Capri - Out","","39.095509","-84.455602","Transit Authority of Northern Kentucky","","0",""
"10654","0","Clover Rdg at Winding Way - In","","39.093116","-84.457424","Transit Authority of Northern Kentucky","","0",""
"30029","0","S Loop at Medical Village - Out","","39.009545","-84.56406","Transit Authority of Northern Kentucky","","0",""
"100590","0","Industrial at Safeway - In","","38.986437","-84.635939","Transit Authority of Northern Kentucky","","0",""
"100350","0","Turfway at Lloyd - In","","39.008756","-84.624151","Transit Authority of Northern Kentucky","","0",""
"100110","0","Dixie at Fortside - Out","","39.056694","-84.545683","Transit Authority of Northern Kentucky","","0",""
"10668","0","Alexandria at Dexter - Out","","39.076185","-84.477681","Transit Authority of Northern Kentucky","","0",""
"10667","0","Monmouth at Carroll - In","","39.077595","-84.478925","Transit Authority of Northern Kentucky","","0",""
"30015","0","Highland at Ft Thomas - Out","","39.078263","-84.449451","Transit Authority of Northern Kentucky","","0",""
"2","0","Fifth and Main Cincinnati - Out","","39.101463","-84.509929","Transit Authority of Northern Kentucky","","0",""
"10669","0","Alexandria at Dexter - In","","39.076523","-84.477753","Transit Authority of Northern Kentucky","","0",""
"3","0","Walnut at Freedom Way – OUT","","39.096859","-84.510329","Transit Authority of Northern Kentucky","","0",""
"4","0","Dave Cowens at Linden Out","","39.099281","-84.491205","Transit Authority of Northern Kentucky","","0",""
"5","0","Dave Cowens at Park In","","39.098182","-84.492919","Transit Authority of Northern Kentucky","","0",""
"6","0","Dave Cowens at Linden In","","39.099982","-84.490843","Transit Authority of Northern Kentucky","","0",""
"7","0","Dave Cowens at Riviera Out","","39.101517","-84.488793","Transit Authority of Northern Kentucky","","0",""
"100100","0","Sycamore St - 4th St. Cincinnat","","39.100704","-84.507843","Transit Authority of Northern Kentucky","","0",""
"8","0","Dave Cowens at Riverboat Row In","","39.101738","-84.488926","Transit Authority of Northern Kentucky","","0",""
"100101","0","Dixie at Sleepy Hollow - Out","","39.063303","-84.537985","Transit Authority of Northern Kentucky","","0",""
"100585","0","US 42 at Freedom Way - In","","38.987496","-84.639297","Transit Authority of Northern Kentucky","","0",""
"9","0","Houston Rd. at Citi -Out","","39.024861","-84.622865","Transit Authority of Northern Kentucky","","0",""
"10662","0","Monmouth at 19th - In","","39.079965","-84.481175","Transit Authority of Northern Kentucky","","0",""
"10661","0","Monmouth at 19th - Out","","39.079617","-84.481118","Transit Authority of Northern Kentucky","","0",""
"100345","0","Turfway at Crown Court - In","","39.009401","-84.625259","Transit Authority of Northern Kentucky","","0",""
"10664","0","Zott at Monmouth - Out","","39.078553","-84.480182","Transit Authority of Northern Kentucky","","0",""
"30016","0","Newport Shopping Center - Out","","39.08316","-84.480334","Transit Authority of Northern Kentucky","","0",""
"10663","0","Monmouth at New Linden - In","","39.079281","-84.480604","Transit Authority of Northern Kentucky","","0",""
"100105","0","Dixie at Ashwood - Out","","39.060345","-84.540722","Transit Authority of Northern Kentucky","","0",""
"10666","0","Monmouth at Carroll - Out","","39.077374","-84.478855","Transit Authority of Northern Kentucky","","0",""
"10665","0","Monmouth at 21st - In","","39.078286","-84.479713","Transit Authority of Northern Kentucky","","0",""
"809","0","E 5th at Lawrence - Out","","39.102193","-84.505581","Transit Authority of Northern Kentucky","","0",""
"100560","0","Florence Hub P and R - In-Out","","38.987614","-84.649556","Transit Authority of Northern Kentucky","","0",""
"10635","0","Boone at E 10th - In","","39.089294","-84.485274","Transit Authority of Northern Kentucky","","0",""
"30001","0","Crosby at Megellan - Out","","39.027577","-84.517543","Transit Authority of Northern Kentucky","","0",""
"10634","0","Boone at E 10th - Out","","39.089102","-84.485267","Transit Authority of Northern Kentucky","","0",""
"10637","0","E 10th at Arnold Aly - In","","39.089831","-84.484261","Transit Authority of Northern Kentucky","","0",""
"10636","0","E 10th at Park - Out","","39.090125","-84.483507","Transit Authority of Northern Kentucky","","0",""
"10639","0","E 10th at N Grand - Out","","39.092519","-84.480776","Transit Authority of Northern Kentucky","","0",""
"10638","0","E 10th at Vine - Out","","39.091191","-84.482559","Transit Authority of Northern Kentucky","","0",""
"811","0","Broadway at E 2nd St - Out","","39.099114","-84.505398","Transit Authority of Northern Kentucky","","0",""
"100310","0","Spiral at Meijer - In","","39.010821","-84.640192","Transit Authority of Northern Kentucky","","0",""
"10631","0","10th at Washington - In","","39.088594","-84.486623","Transit Authority of Northern Kentucky","","0",""
"10630","0","Washington at 10th - Out","","39.088685","-84.486998","Transit Authority of Northern Kentucky","","0",""
"30008","0","Mt Zion Park and Ride - In","","38.9555","-84.6283","Transit Authority of Northern Kentucky","","0",""
"817","0","26th at Madison - Out","","39.05948","-84.502754","Transit Authority of Northern Kentucky","","0",""
"100315","0","3999 Spiral - In","","39.014319","-84.642289","Transit Authority of Northern Kentucky","","0",""
"100570","0","8125 Mall Road - In","","38.983693","-84.650423","Transit Authority of Northern Kentucky","","0",""
"100330","0","StElizabeth Florence - In","","39.015822","-84.629539","Transit Authority of Northern Kentucky","","0",""
"10646","0","Scenic View at Rock Hill - In","","39.095533","-84.466066","Transit Authority of Northern Kentucky","","0",""
